County,Confirmed
Adams,7
Allegheny,133
Armstrong,1
Beaver,13
Berks,36
Blair,1
Bradford,2
Bucks,107
Butler,19
Cambria,1
Carbon,2
Centre,9
Chester,84
Clearfield,2
Columbia,3
Crawford,1
Cumberland,15
Dauphin,13
Delaware,156
Erie,4
Fayette,8
Franklin,5
Greene,3
Indiana,1
Juniata,1
Lackawanna,28
Lancaster,21
Lawrence,1
Lebanon,4
Lehigh,63
Luzerne,36
Lycoming,1
Mercer,3
Monroe,67
Montgomery,282
Montour,4
Northampton,56
Philadelphia,402
Pike,15
Potter,1
Schuylkill,9
Somerset,2
Susquehanna,1
Warren,1
Washington,12
Wayne,6
Westmoreland,24
York,21
